   
lumi event photon_et photon_ph
26849 12248656 0.7895507 2.7045898
510144 232727703 0.6884765 -1.431640
750021 342159225 -1.778564 -3.037109
1270064 579403282 -0.687866 0.9984130
1238137 564838001 1.8041992 1.6520996
117128 53434117 2.3793945 -1.018310
743410 339143622 -0.656005 -0.863037
1100909 502235031 -1.064453 2.6523437
378181 172525761 1.7265625 1.2124023
869415 396627216 -1.084716 -1.305908
794265 362343515 -2.141113 -0.044876
766458 349658126 -1.894042 0.9036865
277805 126734445 -1.558837 -2.204589
586685 267645608 0.8594970 3.0751953
108737 49605947 1.6760253 -1.038574
550174 250989319 1.0209960 -1.939453
553983 252726772 1.7246093 -0.822509
777254 354583133 0.7899169 0.5296630
125806 57392780 -0.304748 -3.107421
328792 149994523 -2.428710 -2.003417
675698 308253557 -1.943847 1.0234375
758081 345836187 -0.962158 -1.057373
288736 131721587 -1.019775 3.0146484
341216 155662846 0.3658447 2.2094726
644995 294246642 -2.244628 -0.745727
110519 50418860 1.8813476 1.0734863
